Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;54,20;54,26;54,40;54,52;54,12;54,12;54,177;171530;9293461,61;1092
29.12.2021;54,18;54,22;54,52;54,58;54,14;54,34;54,337;181219;9846697,18;1331
28.12.2021;54,54;54,58;54,16;54,80;54,14;54,52;54,494;144196;7858128,84;1158
27.12.2021;54,10;54,16;53,88;54,34;53,88;54,10;54,102;67287;3640411,77;933
23.12.2021;53,86;53,90;53,72;54,04;53,54;53,94;53,889;128811;6941021,57;1250
22.12.2021;53,44;53,50;53,86;53,86;53,28;53,58;53,555;153712;8231660,91;1457
21.12.2021;53,68;53,74;53,76;54,02;53,60;53,84;53,832;175074;9424541,59;1711
20.12.2021;53,46;53,50;53,04;53,94;52,98;53,54;53,491;187192;10013038,56;1981
17.12.2021;53,46;53,50;52,64;53,92;52,64;53,66;53,599;830470;44510621,39;4178
16.12.2021;52,62;52,66;54,18;54,22;52,40;52,70;52,781;457798;24163302,99;3781
15.12.2021;53,62;53,68;53,74;54,00;53,28;53,72;53,659;393509;21115201,95;2533
14.12.2021;53,82;53,88;53,68;54,38;53,64;53,78;53,892;195639;10546166,86;1890
13.12.2021;53,70;53,74;53,66;53,80;53,40;53,68;53,672;239462;12852094,83;1889
10.12.2021;53,48;53,54;53,30;53,76;53,08;53,62;53,555;182616;9778027,58;1413
9.12.2021;53,34;53,40;53,78;53,78;53,36;53,38;53,421;236156;12616012,98;1894
8.12.2021;53,60;53,68;53,42;53,88;53,30;53,40;53,503;285338;15276121,25;3067
7.12.2021;53,56;53,60;52,84;53,62;52,84;53,44;53,35;514930;27472447,95;4135
3.12.2021;52,34;52,38;52,88;53,12;52,32;52,32;52,454;283529;14877855,04;2077
2.12.2021;52,58;52,62;53,54;53,74;52,44;52,74;52,782;317085;16736271,94;2966
1.12.2021;53,82;53,90;53,06;53,90;53,06;53,72;53,627;254909;13669466,24;2878
30.11.2021;53,22;53,30;53,12;53,54;52,96;52,96;52,993;853439;45228263,59;3257
29.11.2021;53,32;53,38;53,14;53,70;53,06;53,28;53,315;298126;15894950,83;2766
26.11.2021;53,32;53,36;53,64;53,90;53,28;53,28;53,429;229689;12272973,04;2847
25.11.2021;54,14;54,18;54,26;54,64;53,90;54,12;54,213;131543;7131524,92;1487
24.11.2021;54,34;54,38;54,24;54,44;53,84;54,26;54,228;315435;17105133,13;2534
23.11.2021;54,22;54,32;54,72;54,90;54,10;54,32;54,326;234106;12718322,6;2280
22.11.2021;54,84;54,88;53,64;54,90;53,64;54,80;54,527;281909;15370396,4;2847
19.11.2021;53,64;53,70;53,68;54,08;53,50;53,60;53,698;212916;11433907,12;2735
18.11.2021;53,42;53,46;54,04;54,14;53,42;53,60;53,62;179689;9635107,91;2004
17.11.2021;54,16;54,18;53,28;54,30;53,24;54,14;54,04;259382;14016404,45;2934
