Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;0,594;0,595;0,591;0,596;0,587;0,595;0,59;4264744;2515856,99;1563
29.12.2021;0,593;0,594;0,596;0,602;0,588;0,591;0,593;3786137;2246050,09;1707
28.12.2021;0,596;0,598;0,599;0,607;0,596;0,596;0,60;2875749;1725917,29;1147
27.12.2021;0,598;0,599;0,605;0,605;0,594;0,599;0,599;3481951;2086279,39;1296
23.12.2021;0,604;0,604;0,60;0,613;0,597;0,605;0,606;3435481;2082597,75;1211
22.12.2021;0,595;0,596;0,601;0,604;0,59;0,594;0,597;3911099;2335162,64;1711
21.12.2021;0,602;0,603;0,596;0,603;0,59;0,603;0,598;3102198;1854422,19;1000
20.12.2021;0,593;0,594;0,598;0,60;0,583;0,595;0,589;2426324;1430060,76;1075
17.12.2021;0,598;0,599;0,592;0,599;0,587;0,598;0,593;2435729;1444640,36;984
16.12.2021;0,587;0,588;0,59;0,603;0,583;0,592;0,593;2872478;1703184,31;1293
15.12.2021;0,588;0,589;0,591;0,595;0,584;0,588;0,59;2178469;1284721,26;1261
14.12.2021;0,591;0,592;0,596;0,604;0,585;0,591;0,591;3718440;2198070,33;1614
13.12.2021;0,597;0,599;0,613;0,617;0,59;0,596;0,602;2778663;1673244,98;1371
10.12.2021;0,612;0,616;0,606;0,615;0,603;0,613;0,609;1886722;1149507,42;840
9.12.2021;0,603;0,604;0,628;0,629;0,60;0,602;0,61;5220576;3183752,93;1834
8.12.2021;0,627;0,629;0,633;0,637;0,608;0,625;0,624;4255141;2655451,33;1560
7.12.2021;0,633;0,633;0,633;0,65;0,63;0,633;0,639;5929525;3788268,43;2192
3.12.2021;0,614;0,614;0,60;0,623;0,598;0,615;0,611;3532453;2157187,9;1593
2.12.2021;0,596;0,597;0,589;0,60;0,582;0,599;0,593;3163393;1876850,77;1333
1.12.2021;0,587;0,588;0,566;0,596;0,566;0,588;0,585;5909031;3455459,06;2751
30.11.2021;0,566;0,567;0,59;0,591;0,564;0,565;0,572;12479301;7138198,02;4754
29.11.2021;0,591;0,592;0,608;0,617;0,59;0,59;0,60;8937888;5364103,95;3477
26.11.2021;0,613;0,614;0,631;0,632;0,61;0,61;0,621;8446405;5242270,52;3201
25.11.2021;0,647;0,648;0,645;0,652;0,636;0,65;0,645;2205923;1421967,24;1055
24.11.2021;0,644;0,645;0,664;0,664;0,631;0,643;0,644;6791502;4373480,41;2250
23.11.2021;0,664;0,665;0,669;0,674;0,656;0,664;0,665;2181900;1450253,71;976
22.11.2021;0,668;0,669;0,66;0,67;0,649;0,669;0,66;4075888;2688372,13;1620
19.11.2021;0,66;0,661;0,665;0,67;0,649;0,661;0,656;6037945;3961501,52;2053
18.11.2021;0,665;0,666;0,664;0,679;0,658;0,665;0,669;3482435;2330918,16;1221
17.11.2021;0,667;0,669;0,678;0,683;0,664;0,664;0,671;4264216;2863035,37;1580
16.11.2021;0,679;0,679;0,69;0,699;0,677;0,678;0,686;2334528;1602359,12;1071
15.11.2021;0,69;0,691;0,677;0,706;0,676;0,69;0,697;4543748;3165357,54;1983
12.11.2021;0,677;0,678;0,69;0,691;0,674;0,677;0,68;2261173;1538037,38;1168
11.11.2021;0,688;0,689;0,70;0,707;0,686;0,688;0,696;3212175;2236768,22;1532
10.11.2021;0,703;0,704;0,73;0,73;0,698;0,698;0,709;6763147;4792962,38;2386
9.11.2021;0,73;0,73;0,709;0,73;0,708;0,73;0,722;5976976;4313584,05;2247
8.11.2021;0,709;0,71;0,704;0,722;0,698;0,709;0,71;6864025;4872961,28;2717
5.11.2021;0,702;0,703;0,686;0,704;0,672;0,704;0,69;7243793;4994648,91;2601
4.11.2021;0,685;0,686;0,675;0,689;0,674;0,686;0,683;2590637;1769275,62;1424
3.11.2021;0,674;0,676;0,69;0,703;0,666;0,675;0,687;3623362;2489310,38;1678
2.11.2021;0,689;0,69;0,687;0,696;0,684;0,687;0,69;3505045;2419912,86;1971
1.11.2021;0,686;0,688;0,665;0,691;0,662;0,687;0,682;5152279;3511319,61;2166
29.10.2021;0,66;0,661;0,639;0,662;0,636;0,661;0,655;4418356;2894562,22;1866
28.10.2021;0,637;0,638;0,64;0,641;0,626;0,639;0,634;2615711;1659100,3;1248
27.10.2021;0,639;0,64;0,64;0,659;0,625;0,639;0,645;5361609;3460846,26;2106
26.10.2021;0,614;0,616;0,608;0,65;0,597;0,618;0,628;8917664;5597324,69;2844
25.10.2021;0,597;0,598;0,62;0,62;0,595;0,597;0,607;6595910;4000292,27;2930
22.10.2021;0,62;0,621;0,634;0,634;0,62;0,62;0,623;3242156;2020698,4;1700
21.10.2021;0,628;0,629;0,63;0,642;0,622;0,628;0,631;3455593;2181753,71;1548
20.10.2021;0,63;0,631;0,64;0,641;0,63;0,63;0,633;3754002;2376565,31;2018
19.10.2021;0,642;0,643;0,646;0,65;0,638;0,643;0,643;2546507;1636157,18;1702
18.10.2021;0,645;0,646;0,647;0,653;0,633;0,645;0,642;3320819;2133238,85;2194
15.10.2021;0,646;0,647;0,653;0,655;0,642;0,646;0,648;2811550;1822707,66;1490
14.10.2021;0,648;0,649;0,658;0,658;0,639;0,651;0,649;5062768;3285747,9;1854
13.10.2021;0,657;0,658;0,669;0,669;0,652;0,659;0,66;1950718;1287939,58;1035
12.10.2021;0,663;0,664;0,661;0,666;0,655;0,664;0,66;1634334;1077952,89;1165
11.10.2021;0,667;0,667;0,657;0,667;0,65;0,667;0,658;2097742;1380053,64;1064
8.10.2021;0,65;0,651;0,66;0,666;0,65;0,65;0,656;3250576;2131852,12;1528
7.10.2021;0,659;0,66;0,672;0,68;0,658;0,658;0,665;2584355;1719333,78;1258
6.10.2021;0,666;0,668;0,684;0,684;0,665;0,666;0,671;3243234;2174825,18;1339
5.10.2021;0,684;0,685;0,69;0,691;0,673;0,685;0,681;2384304;1623366,52;1396
4.10.2021;0,688;0,69;0,70;0,706;0,682;0,688;0,69;2883203;1989045,6;1613
1.10.2021;0,699;0,70;0,678;0,70;0,666;0,70;0,685;3112552;2131538,34;1793
30.9.2021;0,682;0,683;0,691;0,697;0,674;0,68;0,683;2125757;1452715,01;1277
29.9.2021;0,693;0,693;0,696;0,70;0,684;0,69;0,693;2275471;1576185,95;1328
28.9.2021;0,696;0,698;0,72;0,725;0,694;0,696;0,706;3409194;2407860,95;1698
27.9.2021;0,718;0,719;0,692;0,72;0,692;0,72;0,711;7163277;5089997,66;2859
24.9.2021;0,686;0,687;0,673;0,694;0,671;0,687;0,685;4139179;2833602,88;1541
23.9.2021;0,675;0,676;0,68;0,684;0,67;0,673;0,677;1815891;1229097,77;1269
22.9.2021;0,677;0,678;0,679;0,686;0,666;0,675;0,674;2210366;1489131,21;1530
21.9.2021;0,677;0,678;0,65;0,687;0,641;0,679;0,672;4435279;2978633,11;2039
20.9.2021;0,652;0,653;0,676;0,676;0,633;0,652;0,652;6157867;4012785,7;2913
17.9.2021;0,673;0,674;0,671;0,694;0,667;0,676;0,68;4709436;3199754,05;1982
16.9.2021;0,662;0,664;0,677;0,677;0,662;0,662;0,668;1787181;1194045,98;1394
15.9.2021;0,667;0,668;0,668;0,672;0,662;0,668;0,666;1643521;1095081,65;1273
14.9.2021;0,668;0,669;0,685;0,686;0,668;0,668;0,674;2210120;1489636,25;1347
13.9.2021;0,685;0,686;0,682;0,687;0,675;0,684;0,68;1987241;1351227,42;1369
10.9.2021;0,681;0,682;0,694;0,694;0,68;0,68;0,685;1293110;885801,95;850
9.9.2021;0,693;0,694;0,69;0,695;0,675;0,691;0,684;2552931;1744975,52;1438
8.9.2021;0,691;0,692;0,70;0,704;0,69;0,69;0,697;3556664;2477047,71;1564
7.9.2021;0,691;0,692;0,70;0,708;0,689;0,691;0,698;3111721;2171256,74;1815
6.9.2021;0,694;0,695;0,714;0,714;0,688;0,694;0,699;4071591;2845836,32;2076
3.9.2021;0,709;0,71;0,696;0,722;0,695;0,71;0,713;8278560;5899003,01;3435
2.9.2021;0,686;0,686;0,685;0,698;0,681;0,685;0,688;2854001;1963864,36;1619
1.9.2021;0,682;0,683;0,667;0,685;0,664;0,683;0,677;3481711;2355682,23;1547
31.8.2021;0,661;0,662;0,667;0,677;0,66;0,661;0,667;2787092;1859290,59;1274
30.8.2021;0,667;0,668;0,667;0,671;0,66;0,667;0,666;1543587;1027776,98;1156
27.8.2021;0,665;0,666;0,668;0,668;0,656;0,666;0,662;2020736;1337336,8;1228
26.8.2021;0,668;0,669;0,671;0,673;0,661;0,669;0,667;1401992;934438,24;1247
25.8.2021;0,668;0,669;0,663;0,672;0,651;0,671;0,662;3558495;2356075,62;2298
24.8.2021;0,66;0,662;0,664;0,676;0,658;0,66;0,667;3189301;2126336,28;1753
23.8.2021;0,661;0,662;0,674;0,676;0,655;0,66;0,663;2604616;1727058,98;1731
20.8.2021;0,67;0,67;0,649;0,674;0,649;0,67;0,665;4147733;2757167,34;5088
19.8.2021;0,649;0,651;0,66;0,677;0,646;0,648;0,66;3398485;2244264,03;1964
18.8.2021;0,667;0,669;0,643;0,67;0,641;0,67;0,655;2591639;1698408,6;1747
17.8.2021;0,642;0,643;0,647;0,65;0,633;0,643;0,64;2356123;1507914,35;1981
16.8.2021;0,645;0,646;0,66;0,66;0,64;0,647;0,648;2406323;1558000,66;1969
13.8.2021;0,659;0,659;0,66;0,664;0,657;0,66;0,66;1643170;1083888,22;1311
12.8.2021;0,66;0,661;0,668;0,675;0,658;0,66;0,666;2094834;1394933,64;1348
11.8.2021;0,666;0,666;0,665;0,669;0,656;0,666;0,662;1565204;1036790,3;991
10.8.2021;0,661;0,662;0,67;0,671;0,658;0,665;0,663;2706466;1794760,43;1700
9.8.2021;0,67;0,671;0,681;0,681;0,665;0,67;0,67;2366563;1584966,37;1335
6.8.2021;0,681;0,683;0,693;0,694;0,679;0,682;0,683;1469809;1003743,92;927
5.8.2021;0,689;0,69;0,674;0,693;0,67;0,692;0,681;2842438;1935090,34;1830
4.8.2021;0,673;0,674;0,677;0,681;0,66;0,673;0,669;2093974;1401005,71;1480
3.8.2021;0,675;0,676;0,678;0,679;0,666;0,674;0,671;1790253;1202025,24;1184
