Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;26,99;27,00;27,16;27,32;26,99;26,99;27,05;684360;18512182,04;3655
29.12.2021;27,14;27,17;27,16;27,39;27,06;27,16;27,173;685013;18614317,27;3696
28.12.2021;27,20;27,21;27,17;27,34;27,11;27,16;27,199;852582;23189452,29;3276
27.12.2021;27,17;27,19;27,49;27,56;27,11;27,17;27,282;863132;23548403,03;5475
23.12.2021;27,39;27,42;27,72;27,90;27,24;27,49;27,452;830939;22808011,72;4358
22.12.2021;27,72;27,74;27,83;27,96;27,20;27,72;27,58;1256731;34672427,27;6351
21.12.2021;27,85;27,86;27,07;27,90;27,05;27,82;27,647;1529644;42286934,94;7329
20.12.2021;26,77;26,78;26,32;27,00;26,12;26,80;26,667;921555;24575623,98;5678
17.12.2021;26,86;26,87;27,40;27,46;26,84;26,84;26,905;3166948;85213785,41;8616
16.12.2021;27,57;27,61;27,40;27,83;27,11;27,53;27,488;2230370;61301368,64;9159
15.12.2021;27,21;27,22;26,46;27,27;26,38;27,24;26,999;1372723;37053402,68;5652
14.12.2021;26,48;26,49;26,46;26,96;26,41;26,46;26,603;1185932;31552188,07;6427
13.12.2021;26,53;26,55;26,55;26,72;26,22;26,47;26,473;1115801;29542247,1;4500
10.12.2021;26,57;26,60;26,97;27,11;26,55;26,55;26,675;863113;23027856,42;3533
9.12.2021;27,14;27,16;26,75;27,24;26,70;27,15;27,069;1098741;29738646,03;4730
8.12.2021;26,97;26,98;26,34;27,10;26,28;26,89;26,919;2209378;59486338,32;11896
7.12.2021;26,35;26,37;25,37;26,38;25,22;26,38;26,134;2552973;66709579,93;10585
3.12.2021;25,03;25,05;25,20;25,45;25,00;25,02;25,163;1319758;33217622,36;5894
2.12.2021;25,03;25,04;25,29;25,39;24,80;25,03;25,09;1514343;38002368,24;5744
1.12.2021;25,58;25,60;25,52;25,73;25,30;25,53;25,548;1166683;29806463,27;5370
30.11.2021;25,40;25,43;25,32;25,65;25,05;25,41;25,369;2197520;55745022,72;7376
29.11.2021;25,56;25,59;24,86;25,62;24,85;25,56;25,42;1393758;35429221,71;6474
26.11.2021;24,90;24,92;25,30;25,53;24,87;24,90;25,083;1642278;41209245,8;6776
