Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;63,08;63,12;63,24;63,48;62,90;63,04;63,084;454826;28692721,23;2855
29.12.2021;63,26;63,32;63,24;63,60;63,10;63,28;63,295;431182;27291788,09;3508
28.12.2021;63,52;63,56;63,16;63,60;63,12;63,36;63,381;286190;18139260,23;2061
27.12.2021;63,16;63,24;62,60;63,46;62,60;63,16;63,204;262882;16615985,66;2385
23.12.2021;62,84;62,88;62,54;62,94;62,14;62,72;62,641;349417;21887892,73;3046
22.12.2021;61,92;61,96;61,80;62,22;61,20;62,22;61,919;388272;24039615,28;3854
21.12.2021;61,36;61,40;62,38;62,38;61,30;61,42;61,703;477519;29465192,07;5798
20.12.2021;61,32;61,38;60,84;61,72;60,34;61,58;61,347;573852;35203017;5517
17.12.2021;61,86;61,96;62,26;62,48;61,40;61,88;61,954;1163419;72079486,8;6799
16.12.2021;62,52;62,56;62,38;62,64;62,04;62,30;62,331;825404;51448716,85;7461
15.12.2021;61,76;61,82;60,68;61,94;60,68;61,62;61,567;559463;34445435,71;5173
14.12.2021;61,00;61,04;62,00;62,32;60,86;60,86;61,285;666088;40824860,1;5298
13.12.2021;61,74;61,78;60,98;62,04;60,88;61,92;61,821;665179;41120220,4;5185
10.12.2021;60,80;60,84;61,22;61,42;60,58;61,02;60,992;568105;34648156,47;4576
9.12.2021;61,22;61,28;61,60;62,58;61,04;61,44;61,564;638061;39277426,35;7586
8.12.2021;61,68;61,74;62,50;62,80;61,44;61,58;61,846;886680;54836118,84;8293
7.12.2021;62,62;62,66;61,62;63,08;61,00;62,76;62,546;1244425;77832412,01;10382
3.12.2021;59,20;59,48;60,64;60,68;59,22;59,62;59,933;899143;53911232,66;7143
2.12.2021;59,98;60,06;59,28;60,24;59,04;60,22;60,015;701584;42103195,5;6702
1.12.2021;60,38;60,44;60,00;60,58;59,40;60,26;60,121;882313;53041159,08;9043
30.11.2021;58,18;58,24;58,50;58,64;57,46;58,24;58,144;1554636;90377411,18;12501
29.11.2021;59,14;59,18;59,04;59,56;58,66;59,16;59,175;684339;40495788,74;7971
26.11.2021;58,26;58,32;58,10;59,42;57,70;58,66;58,619;959411;56240034,63;8859
25.11.2021;59,66;59,72;59,62;60,10;59,32;59,84;59,802;324882;19428219,19;3489
24.11.2021;59,50;59,58;60,38;60,74;59,44;59,50;59,843;551241;32995484,15;6090
23.11.2021;60,14;60,20;61,12;61,22;60,08;60,30;60,454;726277;43906805,08;7117
