Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;9,342;9,344;9,42;9,44;9,33;9,348;9,368;854642;8006645,38;2601
29.12.2021;9,424;9,43;9,444;9,49;9,368;9,43;9,423;648888;6114652,06;2052
28.12.2021;9,434;9,442;9,50;9,574;9,434;9,448;9,488;591834;5616682,14;1809
27.12.2021;9,482;9,496;9,454;9,516;9,42;9,476;9,478;670140;6350554,45;1860
23.12.2021;9,424;9,434;9,202;9,454;9,164;9,454;9,321;2110784;19673788,36;5184
22.12.2021;9,128;9,132;9,01;9,144;8,896;9,144;9,043;1247176;11277892,97;3710
21.12.2021;8,974;8,982;8,95;9,056;8,894;8,98;8,985;1174510;10553753,43;3205
20.12.2021;8,822;8,826;8,75;8,864;8,65;8,828;8,79;1364420;11991512,4;4841
17.12.2021;9,00;9,008;9,052;9,10;8,848;8,956;8,978;2062575;18519346,92;5159
16.12.2021;9,078;9,082;9,10;9,24;9,072;9,096;9,144;1852985;16945514,77;5666
15.12.2021;8,86;8,87;8,86;8,92;8,816;8,872;8,87;1231279;10920958,63;3543
14.12.2021;8,83;8,836;9,10;9,172;8,812;8,852;8,947;1731209;15490644,77;3742
13.12.2021;9,078;9,102;9,168;9,308;9,078;9,078;9,192;1107462;10181191,26;2981
10.12.2021;9,13;9,136;9,24;9,254;9,106;9,144;9,171;921447;8450989,73;2200
9.12.2021;9,258;9,264;9,36;9,402;9,186;9,294;9,275;1089904;10106830,11;3260
8.12.2021;9,338;9,346;9,296;9,422;9,228;9,33;9,325;1877932;17511816,02;5067
7.12.2021;9,33;9,336;9,256;9,50;9,228;9,316;9,366;2404051;22519213,37;5887
3.12.2021;8,984;8,996;9,18;9,252;8,978;9,01;9,101;1711943;15605167,49;3916
2.12.2021;9,144;9,154;9,032;9,156;8,974;9,132;9,10;1210042;11009752,98;4483
1.12.2021;9,198;9,204;9,05;9,206;8,992;9,184;9,142;1039565;9503271,48;3537
30.11.2021;8,95;8,954;8,95;9,076;8,808;8,93;8,926;2549415;22746676,2;6049
29.11.2021;9,056;9,068;9,092;9,192;9,004;9,064;9,076;1572001;14263824,4;4478
26.11.2021;8,962;8,968;9,27;9,27;8,96;8,99;9,076;2011012;18254504,76;5742
