Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;10,80;10,802;10,812;10,876;10,786;10,786;10,828;2043804;22130100,68;4085
29.12.2021;10,794;10,796;10,806;10,844;10,736;10,80;10,792;2296893;24786919,16;3938
28.12.2021;10,788;10,794;10,676;10,822;10,676;10,806;10,78;2179653;23496557,88;3843
27.12.2021;10,656;10,662;10,482;10,712;10,454;10,658;10,623;2118120;22500228,78;3415
23.12.2021;10,512;10,516;10,346;10,518;10,30;10,496;10,447;2086335;21795737,2;3202
22.12.2021;10,274;10,28;10,314;10,334;10,252;10,296;10,294;1799612;18526008,71;3656
21.12.2021;10,286;10,294;10,288;10,352;10,248;10,29;10,293;3123794;32152847,31;4707
20.12.2021;10,206;10,212;10,13;10,31;10,034;10,208;10,206;5386545;54957519,38;9319
17.12.2021;10,236;10,24;10,346;10,372;10,13;10,288;10,266;15977378;164022558,25;12408
16.12.2021;10,386;10,39;10,498;10,524;10,322;10,388;10,416;4603271;47947846,18;6030
15.12.2021;10,37;10,378;10,40;10,422;10,272;10,328;10,339;4096276;42353328,95;5844
14.12.2021;10,372;10,374;10,41;10,54;10,312;10,386;10,404;4960537;51613255,16;6883
13.12.2021;10,366;10,372;10,492;10,546;10,356;10,36;10,442;3275355;34204585,13;5152
10.12.2021;10,448;10,452;10,46;10,54;10,406;10,466;10,474;3177338;33282117,35;4484
9.12.2021;10,472;10,476;10,70;10,70;10,408;10,49;10,505;3928291;41261112,24;6785
8.12.2021;10,652;10,66;10,664;10,746;10,53;10,642;10,645;5143579;54775471,41;5628
7.12.2021;10,702;10,706;10,654;10,84;10,652;10,702;10,744;5386419;57871990,07;8108
3.12.2021;10,37;10,376;10,748;10,748;10,354;10,37;10,479;4295541;45017024,48;6556
2.12.2021;10,608;10,618;10,544;10,63;10,448;10,63;10,551;3879865;40933867,49;6648
1.12.2021;10,622;10,628;10,494;10,66;10,49;10,626;10,598;4976354;52736867,64;6134
30.11.2021;10,462;10,466;10,248;10,552;10,224;10,472;10,412;7532248;78424428,62;11104
29.11.2021;10,482;10,488;10,346;10,598;10,346;10,458;10,476;5902482;61831699,72;9882
26.11.2021;10,272;10,276;10,40;10,60;10,19;10,24;10,349;8643102;89449838,26;16297
25.11.2021;10,894;10,90;10,804;10,90;10,80;10,892;10,865;3080806;33474068,85;5094
24.11.2021;10,792;10,796;10,746;10,944;10,726;10,81;10,847;3649277;39583976;6511
23.11.2021;10,752;10,764;10,828;10,862;10,734;10,758;10,788;3463749;37366630,44;6920
22.11.2021;10,904;10,908;10,732;10,926;10,702;10,882;10,851;3987549;43268432,47;8283
19.11.2021;10,792;10,80;10,906;10,944;10,636;10,788;10,761;7348814;79082630,92;12585
18.11.2021;10,882;10,888;11,036;11,046;10,862;10,862;10,939;4478442;48991975,19;8304
17.11.2021;11,042;11,048;11,08;11,16;11,036;11,036;11,079;3418042;37869272,47;7078
16.11.2021;11,094;11,10;11,18;11,23;11,056;11,08;11,101;3612856;40107963,38;5302
15.11.2021;11,144;11,15;10,99;11,166;10,964;11,166;11,113;3023338;33599292,04;5142
12.11.2021;11,00;11,004;11,076;11,136;10,988;11,00;11,056;3883877;42939944,17;6936
11.11.2021;11,09;11,094;10,946;11,096;10,936;11,076;11,07;3679288;40727658,76;6855
10.11.2021;10,956;10,958;10,868;11,01;10,864;10,956;10,968;3635395;39873679,84;6914
9.11.2021;10,892;10,898;10,90;10,996;10,826;10,868;10,914;3608278;39382722,59;6661
8.11.2021;10,922;10,93;10,964;11,036;10,916;10,948;10,98;3765756;41349082,22;5918
5.11.2021;10,832;10,836;10,792;11,036;10,774;10,834;10,924;4624644;50522010,43;7401
4.11.2021;10,816;10,82;10,936;10,962;10,752;10,822;10,859;5004823;54348802,56;7451
3.11.2021;10,838;10,842;10,68;10,868;10,634;10,868;10,801;5226764;56452530,06;6763
2.11.2021;10,648;10,652;10,626;10,752;10,598;10,674;10,69;4925122;52648419,7;7203
1.11.2021;10,65;10,652;10,582;10,816;10,558;10,636;10,697;5241168;56066159,35;9991
29.10.2021;10,58;10,584;10,502;10,628;10,424;10,574;10,554;7726799;81546889,44;13657
28.10.2021;10,534;10,538;10,772;10,808;10,502;10,502;10,589;11279851;119455056,54;12851
27.10.2021;10,756;10,76;10,742;10,80;10,656;10,772;10,754;7274267;78228757,97;12448
26.10.2021;10,726;10,732;10,67;10,776;10,60;10,726;10,692;14294532;152831336,54;22728
25.10.2021;11,154;11,16;11,054;11,23;11,052;11,15;11,174;3901392;43594593,82;6881
22.10.2021;11,044;11,046;10,896;11,126;10,824;11,07;11,035;5098836;56264654,37;8066
21.10.2021;10,854;10,858;10,89;10,932;10,584;10,876;10,757;7319478;78735714,35;12264
20.10.2021;10,954;10,958;10,93;11,034;10,876;10,958;10,957;4900571;53694206,84;7912
19.10.2021;10,922;10,93;10,872;10,984;10,858;10,906;10,923;3129962;34188646,57;5016
18.10.2021;10,896;10,90;10,78;10,988;10,778;10,896;10,914;3650754;39840749,66;5482
15.10.2021;10,764;10,77;10,742;10,856;10,688;10,78;10,769;4635941;49925961,8;6152
14.10.2021;10,666;10,672;10,50;10,704;10,468;10,67;10,606;5201955;55172637,65;8135
13.10.2021;10,43;10,434;10,442;10,466;10,35;10,418;10,412;5540332;57687302,53;9697
12.10.2021;10,48;10,482;10,30;10,486;10,224;10,472;10,397;4771869;49613085,71;9648
11.10.2021;10,418;10,422;10,45;10,51;10,38;10,424;10,43;3081325;32138061,55;4355
8.10.2021;10,426;10,428;10,428;10,474;10,338;10,45;10,426;4023611;41948731,01;5943
7.10.2021;10,446;10,448;10,41;10,544;10,36;10,476;10,452;8876138;92766727,07;11995
6.10.2021;10,342;10,348;10,604;10,628;10,32;10,386;10,404;7456288;77560110,28;12199
5.10.2021;10,598;10,604;10,404;10,624;10,38;10,624;10,553;5909540;62362537,49;10747
4.10.2021;10,40;10,404;10,458;10,518;10,286;10,40;10,388;6626562;68835938,02;11515
1.10.2021;11,104;11,106;11,09;11,154;10,87;11,12;11,032;9642469;106379050,36;15292
30.9.2021;11,19;11,194;11,20;11,242;11,062;11,242;11,191;7568473;84696248,44;10666
29.9.2021;11,136;11,14;10,902;11,15;10,902;11,148;11,096;5651434;62706128,89;9686
28.9.2021;10,874;10,88;11,078;11,152;10,868;10,878;10,977;5371879;58967472,88;9183
27.9.2021;11,044;11,048;10,95;11,078;10,926;11,078;11,022;6478223;71386330,11;8658
24.9.2021;10,854;10,856;10,956;10,956;10,732;10,872;10,846;4513328;48951068,56;8171
23.9.2021;10,958;10,96;10,798;10,992;10,77;10,956;10,926;5508543;60186899,28;9815
22.9.2021;10,72;10,726;10,58;10,742;10,566;10,726;10,673;4399836;46959940,55;6898
21.9.2021;10,46;10,47;10,728;10,846;10,456;10,46;10,61;8703900;92349190,93;16130
20.9.2021;10,764;10,766;10,84;10,928;10,532;10,728;10,705;25981528;278121523,88;40210
17.9.2021;10,74;10,744;10,71;11,062;10,704;11,062;11,043;97833114;1080348423,19;17325
16.9.2021;10,71;10,718;10,446;10,756;10,404;10,756;10,67;7701434;82217047,1;10441
15.9.2021;10,446;10,448;10,384;10,482;10,36;10,452;10,443;2431313;25390624,74;5595
14.9.2021;10,42;10,424;10,50;10,54;10,348;10,408;10,464;2688520;28131908,45;5843
13.9.2021;10,478;10,482;10,306;10,506;10,306;10,484;10,457;3137960;32813387,41;6555
10.9.2021;10,298;10,302;10,20;10,354;10,164;10,308;10,271;6143012;63094639,34;10188
9.9.2021;10,34;10,344;10,16;10,382;10,10;10,352;10,284;1670587;17179357,11;4116
8.9.2021;10,242;10,244;10,384;10,384;10,242;10,254;10,301;1631436;16805864,65;3543
7.9.2021;10,394;10,396;10,566;10,604;10,386;10,414;10,455;2209114;23094983,51;4967
6.9.2021;10,56;10,562;10,44;10,566;10,384;10,552;10,525;1905116;20050645,85;4470
3.9.2021;10,448;10,452;10,466;10,486;10,368;10,422;10,43;3624221;37799150,34;8505
2.9.2021;10,458;10,46;10,27;10,468;10,222;10,466;10,394;6864293;71343869,53;13312
1.9.2021;10,062;10,066;10,00;10,104;9,988;10,06;10,063;1400888;14098232,95;3251
