Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;43,28;43,32;43,10;43,51;43,06;43,36;43,328;581612;25199603,13;4994
29.12.2021;43,39;43,42;43,72;44,13;43,13;43,30;43,431;683196;29673284,99;5996
28.12.2021;43,87;43,90;44,23;44,48;43,78;43,94;44,072;509613;22460388,62;4169
27.12.2021;44,27;44,34;43,80;44,51;43,73;44,23;44,246;441753;19546114,43;3721
23.12.2021;43,72;43,78;43,88;43,97;43,61;43,71;43,77;437641;19156493,61;3929
22.12.2021;43,56;43,59;43,75;43,98;43,25;43,72;43,639;611114;26667255,4;5967
21.12.2021;43,69;43,70;44,00;44,45;43,44;43,75;43,775;916971;40140567,62;8669
20.12.2021;42,37;42,40;42,19;42,80;41,63;42,44;42,335;881639;37326624,89;8714
17.12.2021;43,31;43,34;44,15;44,15;42,68;43,40;43,279;1574637;68144334,29;8501
16.12.2021;43,95;43,98;43,00;44,16;42,89;44,16;43,785;1323260;57923229,33;9231
15.12.2021;41,99;42,02;41,94;42,42;41,78;42,01;42,046;1129311;47487924,18;6113
14.12.2021;42,33;42,38;42,55;43,17;42,33;42,48;42,572;983342;41865405,21;6305
13.12.2021;42,40;42,45;43,57;43,96;42,42;42,46;42,899;991819;42560610,25;8343
10.12.2021;43,24;43,27;43,15;43,42;42,87;43,23;43,197;743583;32120143,38;6632
9.12.2021;43,34;43,37;43,67;44,23;42,57;43,29;43,274;1775432;76842586,12;14013
8.12.2021;45,35;45,40;43,94;45,82;43,71;45,44;45,19;1787692;80791377,25;13679
7.12.2021;44,22;44,25;42,11;44,62;41,80;44,18;43,792;2048814;89718957,04;16027
3.12.2021;41,25;41,28;42,00;42,25;41,17;41,33;41,684;1239468;51685807,22;9401
2.12.2021;41,73;41,76;42,38;42,56;41,51;41,82;41,933;1293403;54259017,58;10955
1.12.2021;43,06;43,09;41,98;43,20;41,95;42,90;42,849;933504;40007923,02;9684
30.11.2021;41,98;42,03;42,54;42,61;41,45;41,77;41,842;3050985;127661645,71;13303
29.11.2021;43,00;43,04;42,61;43,31;42,35;42,98;42,943;1103028;47364896,11;12199
26.11.2021;42,53;42,65;42,64;43,24;42,10;42,64;42,72;1288657;55051725,43;12797
25.11.2021;43,90;43,95;43,61;44,03;43,22;44,03;43,778;958550;41949592,76;7551
24.11.2021;43,65;43,67;44,89;45,33;43,56;43,60;44,086;921952;40645855,82;10023
23.11.2021;44,98;45,01;45,65;45,72;44,58;44,89;45,014;973158;43802836,26;10231
22.11.2021;45,65;45,69;45,20;45,80;44,79;45,74;45,399;1110889;50427384,2;9272
