Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;5,577;5,58;5,569;5,607;5,561;5,574;5,582;6772775;37811726,04;8636
29.12.2021;5,573;5,578;5,627;5,659;5,556;5,569;5,586;6615734;36954569,07;7447
28.12.2021;5,626;5,631;5,634;5,708;5,624;5,627;5,663;8175624;46299423,03;9077
27.12.2021;5,624;5,625;5,496;5,646;5,485;5,628;5,595;10029766;56115100,13;8780
23.12.2021;5,526;5,53;5,456;5,561;5,455;5,536;5,527;15598837;86210319,29;11391
22.12.2021;5,37;5,373;5,299;5,393;5,291;5,393;5,36;9990000;53541616,98;7325
21.12.2021;5,279;5,281;5,31;5,325;5,262;5,273;5,284;9084488;48003241,89;11148
20.12.2021;5,252;5,253;5,317;5,331;5,24;5,255;5,282;10762054;56851080,51;11191
17.12.2021;5,39;5,393;5,39;5,409;5,278;5,397;5,368;17028846;91401590,88;12343
16.12.2021;5,446;5,449;5,405;5,475;5,376;5,437;5,429;18707630;101551504,3;16600
15.12.2021;5,326;5,329;5,293;5,363;5,29;5,34;5,332;11633498;62026016,21;11033
14.12.2021;5,274;5,278;5,333;5,376;5,263;5,279;5,302;8711324;46184381,46;10094
13.12.2021;5,32;5,323;5,313;5,372;5,31;5,321;5,33;14437428;76943989,25;11344
10.12.2021;5,334;5,335;5,287;5,385;5,287;5,319;5,332;12534851;66832472,99;9886
9.12.2021;5,361;5,365;5,197;5,383;5,182;5,369;5,32;18516004;98491346,53;17916
8.12.2021;5,213;5,215;5,26;5,266;5,175;5,197;5,22;14366794;75013538,04;12501
7.12.2021;5,247;5,25;5,08;5,259;5,057;5,259;5,192;24648575;127940651,58;17407
3.12.2021;5,061;5,066;5,133;5,148;5,037;5,067;5,08;14145419;71876200,64;13727
2.12.2021;5,02;5,021;5,026;5,052;4,943;5,02;5,00;15188763;75940156,5;15328
1.12.2021;5,096;5,10;4,971;5,111;4,97;5,106;5,057;16673396;84305472,71;14026
30.11.2021;4,953;4,958;4,97;4,99;4,891;4,915;4,923;33102068;162971783,17;16102
29.11.2021;5,015;5,018;4,911;5,035;4,911;5,019;5,003;13259645;66336360,34;12362
26.11.2021;4,908;4,911;5,087;5,088;4,906;4,918;4,977;18809883;93625789,19;15264
25.11.2021;5,211;5,213;5,157;5,218;5,139;5,216;5,204;7525472;39161635,46;6230
24.11.2021;5,18;5,181;5,099;5,184;5,081;5,166;5,138;12312233;63252717,79;12878
23.11.2021;5,074;5,077;5,106;5,147;5,04;5,09;5,089;17721137;90184159,19;18416
22.11.2021;5,174;5,176;5,20;5,225;5,142;5,173;5,18;11871584;61493107,36;11378
19.11.2021;5,217;5,218;5,15;5,24;5,119;5,217;5,196;19897513;103378139,88;18049
18.11.2021;5,055;5,06;5,05;5,088;4,981;5,07;5,05;16676569;84208707,54;13879
17.11.2021;5,068;5,072;4,973;5,096;4,956;5,075;5,042;11368654;57317180,36;12335
16.11.2021;4,971;4,972;4,95;4,993;4,945;4,956;4,965;9068002;45019308,35;8052
15.11.2021;4,941;4,944;4,98;4,999;4,92;4,941;4,945;8771031;43371289,45;10967
12.11.2021;5,004;5,007;5,003;5,048;4,999;5,002;5,016;6214545;31172025,92;9441
11.11.2021;5,012;5,015;4,992;5,029;4,99;5,01;5,01;8273857;41449691,76;11078
10.11.2021;5,027;5,032;5,05;5,07;4,992;5,026;5,027;9659395;48552164,6;9425
9.11.2021;5,045;5,049;5,066;5,106;5,039;5,05;5,063;9927184;50262353,83;10033
8.11.2021;5,101;5,107;5,03;5,12;5,027;5,12;5,104;13665404;69741163,87;11002
5.11.2021;5,004;5,011;4,96;5,026;4,93;5,017;5,001;7448977;37253872,42;7669
4.11.2021;4,972;4,973;5,001;5,086;4,943;4,976;5,002;14276231;71410755,34;11067
3.11.2021;4,97;4,97;4,841;4,998;4,83;4,98;4,946;14022604;69351060,55;11866
2.11.2021;4,83;4,831;4,91;4,947;4,827;4,84;4,868;10279307;50050670,91;9935
1.11.2021;4,932;4,936;4,961;4,961;4,845;4,919;4,904;14618641;71683006,14;16109
29.10.2021;4,982;4,985;5,01;5,011;4,904;4,97;4,959;18855546;93500167,39;14603
28.10.2021;5,022;5,025;5,20;5,313;5,015;5,024;5,153;31460096;162235697,21;26123
27.10.2021;5,023;5,025;5,003;5,06;4,983;5,034;5,027;15395105;77390075,41;13721
26.10.2021;4,933;4,933;4,926;4,985;4,891;4,934;4,929;15703900;77409461,31;13634
25.10.2021;4,971;4,975;5,019;5,055;4,89;4,982;4,952;21514161;106529013,5;19174
22.10.2021;5,10;5,105;5,145;5,198;5,102;5,109;5,137;9778493;50239375,29;7427
