Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;36,42;36,44;36,20;36,52;36,02;36,52;36,429;246692;8986657,56;2043
29.12.2021;36,21;36,25;36,31;36,38;36,03;36,30;36,267;180669;6552021,24;1497
28.12.2021;36,34;36,37;36,12;36,53;36,12;36,31;36,341;132260;4807356,47;1492
27.12.2021;36,14;36,17;35,82;36,26;35,79;36,11;36,104;132589;4786974,08;1292
23.12.2021;35,70;35,73;35,76;35,89;35,53;35,84;35,78;162403;5810528,73;1804
22.12.2021;35,75;35,78;35,73;35,79;35,32;35,76;35,654;219500;7825523,92;2215
21.12.2021;35,61;35,65;35,39;35,73;35,32;35,73;35,652;281954;10051320,18;2437
20.12.2021;35,36;35,38;35,38;35,48;34,93;35,26;35,269;286836;10117539,33;3578
17.12.2021;35,69;35,71;35,18;35,77;35,10;35,68;35,61;623818;22213387,64;4370
16.12.2021;35,21;35,25;35,04;35,30;34,93;35,19;35,161;352685;12400481,27;3629
15.12.2021;34,70;34,73;34,58;34,80;34,35;34,73;34,704;387254;13439025,7;3229
14.12.2021;34,47;34,50;34,86;35,13;34,44;34,45;34,574;257649;8909489,92;2733
13.12.2021;34,81;34,83;34,63;34,99;34,55;34,80;34,81;300015;10443420,33;2813
10.12.2021;34,61;34,63;34,50;34,93;34,27;34,78;34,724;442897;15378567,74;3559
9.12.2021;34,51;34,53;34,80;35,14;34,47;34,53;34,619;386875;13395082,53;3798
8.12.2021;34,83;34,85;34,70;35,42;34,66;34,75;34,953;494603;17291852,67;5341
7.12.2021;34,60;34,63;35,24;35,24;34,26;34,69;34,67;605080;20976483,53;5827
3.12.2021;34,95;34,97;36,30;36,35;34,74;34,97;35,271;468048;16522680,86;4700
2.12.2021;35,65;35,68;36,01;36,22;35,37;35,69;35,695;329926;11773210,52;2890
1.12.2021;36,17;36,20;36,25;36,70;35,66;36,19;36,114;407168;14704132,94;4144
30.11.2021;36,64;36,67;36,74;36,98;36,29;36,29;36,336;1197586;43521504,12;3674
29.11.2021;37,05;37,09;36,88;37,15;36,61;36,93;36,927;290092;10711886,11;4296
26.11.2021;36,99;37,02;37,05;37,53;36,54;36,94;37,072;291760;10818875,07;4003
25.11.2021;37,01;37,04;36,61;37,16;36,56;37,05;36,986;132732;4909000,93;1643
24.11.2021;36,54;36,57;36,85;37,14;36,46;36,53;36,736;228219;8385990,11;3253
23.11.2021;36,93;36,95;36,68;37,17;36,50;36,89;36,899;262664;9690852,66;3128
22.11.2021;36,94;36,97;36,60;37,01;36,40;36,92;36,796;282280;10384133,93;2725
19.11.2021;36,59;36,62;37,56;37,98;36,43;36,60;36,998;417236;15448574,44;4456
18.11.2021;37,61;37,64;38,33;38,33;37,56;37,56;37,80;417380;15777244,91;2727
17.11.2021;38,36;38,40;37,60;38,39;37,45;38,31;38,023;351013;13342183,2;3491
16.11.2021;37,73;37,75;38,03;38,11;37,70;37,71;37,809;183219;6927616,11;2221
15.11.2021;38,13;38,16;37,93;38,47;37,80;38,14;38,126;236039;8999152,84;3203
12.11.2021;38,00;38,04;37,95;38,23;37,84;38,07;38,073;262020;9976227,92;4518
11.11.2021;37,96;37,99;38,20;38,34;37,91;37,95;38,041;131483;5001756,38;1737
10.11.2021;38,35;38,41;38,20;38,55;38,19;38,28;38,294;291648;11168672,08;1950
9.11.2021;38,23;38,27;38,54;38,66;38,22;38,22;38,335;158524;6076991,73;1963
8.11.2021;38,64;38,67;38,10;38,81;37,99;38,59;38,558;278777;10749003,12;2582
5.11.2021;38,00;38,03;38,14;38,46;37,81;38,07;38,114;188469;7183331,79;2244
4.11.2021;38,13;38,16;38,08;38,37;37,93;38,22;38,184;283591;10828435,15;2304
3.11.2021;38,07;38,09;37,46;38,11;37,23;38,09;37,88;326415;12357819,27;3170
2.11.2021;37,45;37,47;37,32;37,57;37,21;37,55;37,503;265116;9942355,69;2916
1.11.2021;37,48;37,50;37,43;37,72;37,39;37,46;37,482;247616;9281406,99;3541
29.10.2021;37,50;37,52;37,81;37,81;37,37;37,43;37,494;315551;11831687,81;3132
28.10.2021;37,81;37,86;37,50;37,95;37,29;37,93;37,789;292467;11051433,23;2821
27.10.2021;37,61;37,65;37,70;37,91;37,46;37,57;37,632;261603;9844794,72;2875
26.10.2021;37,47;37,50;37,00;37,58;36,82;37,58;37,43;342422;12815414,97;2803
25.10.2021;36,99;37,03;36,75;37,34;36,52;37,00;37,039;218434;8090439,07;2877
22.10.2021;36,68;36,72;36,31;36,78;35,95;36,75;36,612;250667;9176546,75;2449
21.10.2021;36,36;36,40;36,49;36,63;35,89;36,31;36,232;334606;12122376,3;3562
20.10.2021;36,66;36,70;36,48;37,67;36,01;36,66;36,707;574668;21092079,23;5397
19.10.2021;36,51;36,56;36,30;36,59;36,05;36,48;36,408;304659;11091828,77;2882
18.10.2021;36,37;36,39;35,79;36,40;35,71;36,30;36,199;317685;11497975,73;3236
15.10.2021;35,76;35,79;35,62;35,81;35,29;35,81;35,668;169718;6053282,49;1767
14.10.2021;35,55;35,57;35,72;35,81;35,18;35,54;35,553;338314;12027551,25;2885
13.10.2021;35,28;35,32;35,71;35,71;35,02;35,37;35,324;287057;10139525,58;3241
12.10.2021;35,66;35,69;35,50;36,02;35,38;35,71;35,695;329600;11764961,46;3641
11.10.2021;35,74;35,78;34,80;35,82;34,71;35,68;35,454;433085;15353876;3219
8.10.2021;34,68;34,72;34,30;34,92;34,15;34,73;34,697;275468;9557358,61;2275
7.10.2021;34,22;34,25;34,00;34,41;33,93;34,29;34,248;332829;11398235,14;3524
6.10.2021;33,86;33,91;33,87;34,00;33,37;33,87;33,73;331406;11178473,55;3566
5.10.2021;33,88;33,91;34,13;34,25;33,86;33,87;33,959;249914;8487262,08;3295
4.10.2021;34,16;34,18;34,00;34,33;33,84;34,11;34,142;239873;8189861,17;2330
1.10.2021;33,99;34,01;33,78;34,13;33,67;33,99;33,96;307521;10442813,68;3186
30.9.2021;34,22;34,24;34,01;34,30;33,85;34,25;34,166;389927;13321997,83;2883
29.9.2021;33,90;33,95;33,55;33,96;33,28;33,81;33,712;554960;18705893,42;5271
28.9.2021;33,68;33,71;35,13;35,13;33,46;33,46;33,827;582129;19700116,99;4892
27.9.2021;35,21;35,23;35,36;35,81;35,17;35,20;35,401;333190;11795740,82;4001
24.9.2021;35,27;35,30;35,03;35,48;35,01;35,27;35,27;359271;12670717,09;3102
23.9.2021;34,96;34,99;34,64;35,08;34,64;34,99;34,944;305302;10667543,64;2838
22.9.2021;34,57;34,59;34,83;34,93;34,38;34,49;34,541;297776;10285633,6;2626
21.9.2021;34,73;34,76;34,50;34,95;34,46;34,76;34,745;360334;12518766,92;4251
20.9.2021;34,47;34,50;34,18;34,56;33,66;34,49;34,26;424740;14550815,08;4235
17.9.2021;34,31;34,32;34,50;34,75;33,91;34,32;34,318;879426;30179994,03;4115
16.9.2021;34,50;34,53;34,35;34,90;34,30;34,61;34,612;521999;18066305,88;3748
15.9.2021;34,24;34,27;34,28;34,45;34,12;34,36;34,33;424629;14576572,55;3240
14.9.2021;34,31;34,33;34,27;34,51;34,14;34,30;34,305;321233;11019331,48;3868
13.9.2021;34,22;34,25;34,44;34,85;34,21;34,27;34,429;384041;13223870,69;3012
10.9.2021;34,49;34,51;34,41;34,62;34,34;34,44;34,463;359552;12391257,21;3213
9.9.2021;34,47;34,48;34,63;34,63;34,26;34,41;34,446;244322;8416451,64;2375
8.9.2021;34,55;34,57;35,00;35,07;34,39;34,67;34,675;367284;12737654,22;3036
7.9.2021;35,12;35,13;35,31;35,41;35,03;35,07;35,154;180269;6337567,91;1752
6.9.2021;35,29;35,33;35,23;35,34;35,01;35,31;35,196;206220;7257853,07;2063
3.9.2021;35,17;35,21;35,35;35,79;34,75;35,15;35,277;578893;20422016,44;5413
2.9.2021;34,46;34,48;34,37;34,58;34,16;34,58;34,472;249236;8590717,77;1971
1.9.2021;34,32;34,34;34,64;34,74;34,31;34,32;34,419;201326;6929740,09;2362
31.8.2021;34,42;34,44;34,25;34,57;34,15;34,53;34,443;639170;22013794,87;6175
30.8.2021;34,25;34,27;34,20;34,27;33,85;34,25;34,161;199319;6807681,97;1464
27.8.2021;34,14;34,16;33,86;34,17;33,58;34,15;34,016;248214;8442995,62;2798
26.8.2021;33,85;33,87;33,95;34,05;33,78;33,85;33,875;216762;7342847,74;2308
25.8.2021;33,96;33,97;33,91;34,11;33,80;33,93;33,951;212678;7220744,83;2530
