Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;44,15;44,19;44,13;44,31;44,06;44,06;44,147;616525;27217943,46;3515
29.12.2021;44,12;44,14;44,50;44,51;44,04;44,13;44,184;447922;19791311,32;3794
28.12.2021;44,56;44,59;43,99;44,63;43,99;44,57;44,46;607764;27021083,77;3476
27.12.2021;43,93;43,97;43,70;44,09;43,68;43,92;43,929;466586;20496385,81;2994
23.12.2021;43,72;43,75;43,30;43,75;43,28;43,70;43,59;468072;20403332,58;3319
22.12.2021;43,10;43,12;43,40;43,47;42,99;43,20;43,192;633640;27365305,64;4244
21.12.2021;43,14;43,18;43,08;43,43;42,99;43,22;43,235;814647;35221352,68;6724
20.12.2021;42,58;42,60;42,96;42,96;42,37;42,69;42,718;780922;33359869,64;6746
17.12.2021;43,42;43,44;43,56;43,64;42,92;43,56;43,479;2023301;87959491,74;7230
16.12.2021;43,71;43,74;43,90;44,15;43,54;43,71;43,775;861946;37732907,55;5659
15.12.2021;43,29;43,34;43,20;43,32;43,00;43,32;43,256;968642;41897152,03;6190
14.12.2021;43,17;43,19;44,00;44,26;43,15;43,15;43,456;1290400;56093017,53;6818
13.12.2021;43,88;43,91;43,84;44,33;43,76;43,84;43,968;876497;38542575,35;5514
10.12.2021;43,87;43,89;43,51;43,92;43,34;43,75;43,704;777508;33983201,42;4740
9.12.2021;43,59;43,60;44,09;44,11;43,58;43,58;43,748;1011869;44274290,11;5924
8.12.2021;44,22;44,23;44,28;44,55;43,89;44,09;44,185;1190110;52607421,93;7662
7.12.2021;44,28;44,30;43,87;44,30;43,59;44,28;44,131;1307795;57710629,21;6990
3.12.2021;43,12;43,15;43,51;43,62;43,07;43,12;43,256;677168;29297821,96;4348
2.12.2021;43,40;43,43;43,38;43,71;43,22;43,41;43,428;822690;35728748,12;5612
1.12.2021;43,61;43,63;43,71;43,80;43,29;43,60;43,58;1053702;45920045,44;6384
30.11.2021;43,31;43,35;42,67;43,39;42,29;43,39;43,207;2772889;119784391,03;9323
29.11.2021;43,16;43,18;42,80;43,64;42,80;43,06;43,184;1089949;47074588,64;8102
26.11.2021;42,76;42,80;42,97;43,43;42,70;42,77;42,905;1236561;53055883,12;9004
25.11.2021;43,87;43,93;43,20;44,07;43,12;43,94;43,807;588802;25792431,44;4075
24.11.2021;43,16;43,19;43,18;43,38;43,06;43,15;43,17;781009;33716654,57;6275
23.11.2021;43,29;43,32;43,74;43,80;43,23;43,27;43,368;826789;35858903,57;6354
22.11.2021;43,93;43,95;43,70;44,00;43,49;43,95;43,846;715933;31390177,76;5495
19.11.2021;43,79;43,81;44,01;44,24;43,34;43,71;43,704;986815;43126968,58;7252
18.11.2021;43,94;43,97;44,51;44,51;43,86;44,01;44,059;623043;27450440,93;5204
17.11.2021;44,54;44,57;44,45;44,65;44,42;44,51;44,509;489180;21772711,93;4519
16.11.2021;44,59;44,63;44,81;44,95;44,51;44,53;44,674;669547;29912579,94;5265
15.11.2021;44,75;44,78;44,21;44,99;44,18;44,81;44,614;2138481;95407407,61;5827
