Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;33,49;33,50;33,42;33,67;33,40;33,46;33,502;456868;15306592,01;2013
29.12.2021;33,37;33,39;33,30;33,57;33,27;33,42;33,427;512511;17131206,24;2972
28.12.2021;33,36;33,38;33,28;33,48;33,28;33,35;33,357;324936;10839009,22;1712
27.12.2021;33,27;33,29;32,85;33,46;32,85;33,28;33,264;366737;12198492,69;1609
23.12.2021;33,04;33,07;32,74;33,10;32,70;33,00;32,977;654516;21583263,34;3152
22.12.2021;32,52;32,55;32,10;32,61;32,03;32,61;32,463;867360;28153036,81;4148
21.12.2021;32,12;32,13;31,93;32,39;31,77;32,07;32,127;621996;19984917,63;3186
20.12.2021;31,57;31,58;31,51;31,80;31,32;31,61;31,593;764089;24138939,36;3836
17.12.2021;32,20;32,21;32,10;32,29;31,81;32,15;32,118;1884904;60538788,28;7346
16.12.2021;32,16;32,20;32,57;32,84;32,10;32,10;32,22;1725549;55602603,07;5527
15.12.2021;32,14;32,15;32,13;32,39;32,06;32,10;32,128;957265;30759272,38;3213
14.12.2021;32,10;32,13;32,63;32,73;32,05;32,13;32,34;1067018;34516389,85;4611
13.12.2021;32,45;32,47;32,92;33,12;32,46;32,48;32,59;1323799;43151016,53;5117
10.12.2021;32,95;32,96;33,12;33,19;32,84;32,87;32,906;982881;32351097,2;3511
9.12.2021;33,27;33,29;33,65;33,72;33,23;33,27;33,321;648459;21608285,45;3599
8.12.2021;33,45;33,47;33,80;33,85;33,42;33,42;33,529;836066;28045167,35;5017
7.12.2021;33,85;33,88;33,38;33,89;33,24;33,79;33,662;1434010;48251937,07;7076
3.12.2021;32,58;32,61;33,45;33,64;32,57;32,65;32,767;1133952;37167348,91;5170
2.12.2021;33,22;33,25;32,92;33,28;32,79;33,28;33,194;845518;28063317,39;3620
1.12.2021;33,30;33,32;32,37;33,33;32,33;33,18;33,083;1463447;48411033,04;6434
30.11.2021;32,24;32,27;32,32;32,43;32,05;32,05;32,092;2333043;74876730,24;6303
29.11.2021;32,86;32,88;32,31;33,11;32,31;32,70;32,737;1481436;48502250,66;5417
26.11.2021;32,11;32,14;31,92;32,43;31,81;32,12;32,168;931345;29961033,87;5245
25.11.2021;33,04;33,06;32,55;33,06;32,44;33,00;32,956;628803;20720319,12;2773
24.11.2021;32,38;32,41;32,42;32,67;32,30;32,44;32,459;914126;29672445,35;5733
23.11.2021;32,35;32,37;32,30;32,51;32,04;32,40;32,334;972413;31440364,75;4636
22.11.2021;32,52;32,55;32,31;32,67;32,22;32,51;32,484;867074;28167466,61;4804
19.11.2021;32,37;32,39;32,40;32,43;31,97;32,30;32,229;1029134;33167888,22;4458
18.11.2021;32,52;32,55;32,41;32,58;32,15;32,44;32,461;703943;22851223,37;4225
17.11.2021;32,50;32,53;32,54;32,62;32,24;32,44;32,45;600920;19499497,15;3635
16.11.2021;32,54;32,56;32,54;32,63;32,29;32,54;32,532;667696;21721284,84;3320
15.11.2021;32,48;32,50;32,34;32,52;32,15;32,49;32,423;737569;23912502,71;3666
12.11.2021;32,47;32,50;31,99;32,55;31,78;32,48;32,374;980149;31730792,71;4529
11.11.2021;32,14;32,16;31,23;32,17;31,16;32,02;31,896;1413139;45071633,12;8182
10.11.2021;31,13;31,15;30,93;31,22;30,78;31,20;31,113;787729;24505567,92;3474
9.11.2021;30,93;30,95;30,80;31,16;30,76;30,88;30,918;629157;19452903,56;3433
8.11.2021;30,85;30,88;31,00;31,08;30,71;30,86;30,869;606672;18726829,33;2895
5.11.2021;30,90;30,93;30,68;31,09;30,54;30,92;30,92;715597;22126810,45;2942
4.11.2021;30,73;30,74;31,20;31,20;30,67;30,68;30,769;563351;17337635,03;2537
3.11.2021;31,02;31,05;30,66;31,08;30,51;31,07;30,967;756605;23428525,4;3725
2.11.2021;30,58;30,60;30,80;30,84;30,43;30,62;30,627;899464;27548975,39;4530
1.11.2021;30,86;30,88;30,65;31,03;30,60;30,88;30,871;818629;25272567,99;4257
29.10.2021;30,58;30,62;31,04;31,08;30,49;30,52;30,613;1376265;42136572,94;5819
28.10.2021;31,18;31,20;31,29;31,29;30,77;31,20;31,082;756598;23516159,78;5200
27.10.2021;31,27;31,29;31,34;31,50;31,01;31,32;31,251;726849;22713775,59;5092
26.10.2021;31,23;31,27;31,37;31,48;30,66;31,22;31,162;1305890;40692412,28;7517
25.10.2021;31,01;31,04;31,04;31,21;30,80;30,92;30,953;952921;29495868,73;5689
22.10.2021;30,96;30,99;30,40;31,23;30,32;30,97;30,939;1009823;31234605,29;4824
21.10.2021;30,38;30,40;30,71;30,74;30,30;30,34;30,413;721162;21933796,07;4346
20.10.2021;30,72;30,73;31,12;31,17;30,48;30,66;30,683;1173112;36000454,26;5331
19.10.2021;31,02;31,05;30,53;31,08;30,50;31,03;30,961;939026;29069764,26;5783
18.10.2021;30,42;30,44;30,42;30,52;30,19;30,46;30,403;645313;19619852,32;3765
15.10.2021;30,45;30,48;30,60;30,70;30,28;30,46;30,441;1231872;37498696,61;4943
14.10.2021;30,57;30,60;30,61;30,86;30,44;30,55;30,577;1109758;33933114,99;5680
13.10.2021;30,41;30,43;30,28;30,56;30,06;30,45;30,373;798922;24264474,98;4416
