Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30.12.2021;12,38;12,395;12,395;12,43;12,305;12,36;12,366;582795;7207980,66;2339
29.12.2021;12,42;12,43;12,505;12,53;12,37;12,41;12,429;625209;7770644,29;1973
28.12.2021;12,545;12,555;12,45;12,64;12,40;12,525;12,548;562099;7054051,96;1925
27.12.2021;12,435;12,44;12,32;12,455;12,31;12,45;12,411;646457;8022016,1;2413
23.12.2021;12,335;12,345;12,105;12,39;12,10;12,32;12,304;935788;11513046,92;4053
22.12.2021;12,09;12,095;11,81;12,105;11,77;12,105;12,029;1119130;13459838,47;3902
21.12.2021;11,78;11,79;11,715;11,795;11,625;11,77;11,749;724214;8508414,49;3016
20.12.2021;11,555;11,57;11,33;11,58;11,20;11,565;11,456;839141;9612733,85;3988
17.12.2021;11,59;11,595;11,72;11,735;11,51;11,595;11,599;3364430;39024750,02;4357
16.12.2021;11,795;11,805;11,935;12,00;11,765;11,78;11,832;1506833;17833032,56;4704
15.12.2021;11,655;11,665;11,675;11,775;11,585;11,665;11,666;1513663;17658748,66;4344
14.12.2021;11,655;11,665;11,97;12,08;11,655;11,67;11,772;1331576;15677548,15;5338
13.12.2021;11,93;11,94;12,075;12,235;11,925;11,93;12,036;1117852;13459444,89;3636
10.12.2021;11,995;12,015;12,035;12,13;11,995;12,00;12,027;1228422;14774665,55;2912
9.12.2021;12,09;12,10;12,265;12,325;12,035;12,095;12,158;1681031;20439558,68;5837
8.12.2021;12,21;12,225;12,23;12,485;12,08;12,23;12,259;2546429;31218795,43;8984
7.12.2021;12,185;12,195;12,30;12,38;12,12;12,235;12,251;1635235;20034019,73;5086
3.12.2021;11,98;11,99;12,35;12,375;11,96;12,00;12,099;1358396;16440516,18;3436
2.12.2021;12,155;12,17;12,355;12,50;12,08;12,225;12,255;1845047;22609911,69;6741
1.12.2021;12,58;12,595;12,39;12,605;12,285;12,585;12,508;1381176;17269142,86;4026
30.11.2021;12,23;12,245;12,115;12,37;11,93;12,285;12,251;3318863;40658201,22;5386
29.11.2021;12,33;12,34;12,21;12,43;12,11;12,335;12,305;1448527;17824376,62;5776
26.11.2021;12,01;12,025;12,25;12,255;11,78;12,08;12,058;2673753;32241925,02;7702
25.11.2021;12,67;12,68;12,665;12,845;12,575;12,67;12,696;632048;8024534,3;2177
